image_file,disease_true,correct_label,pick,fell_for_jargon,picked_words,verdict_raw
322.png,melanocytic-nevi,A,A,False,33,"Better report: A  
Report A correctly identifies the lesion as suspicious for melanoma or atypical nevus and recommends biopsy, while Report B misdiagnoses the lesion as erythema annulare centrifugum, which does not match the clinical and dermoscopic features shown in the image."
1418.png,scabies,B,A,True,94,"Better report: A
Report A accurately describes the clinical and dermoscopic features consistent with folliculitis, while Report B incorrectly diagnoses scabies without evidence of pruritus, crusting, or characteristic linear/scratching patterns, and the image does not show the typical signs of scabies."
1675.png,tuberous sclerosis,A,A,False,108,"Better report: A  
Report A correctly identifies the lesions as nodular lesions consistent with a dermatological condition (likely a benign or malignant lesion), while Report B misidentifies the location (lateral thigh) and mischaracterizes the lesion as a nevus-lipomatosus-superficialis, which does not match the facial presentation in the image."
3591.png,neutrophilic dermatoses,A,A,False,48,"Better report: A
Report A correctly identifies Sweet’s syndrome based on the clinical presentation of erythematous, well-demarcated plaques, while Report B misdiagnoses the condition as scabies, which is inconsistent with the image and lacks supporting histopathological or dermoscopic details."
1704.png,myiasis,A,A,False,44,"Better report: A  
Report A correctly identifies the image as maggots, which is a direct and accurate clinical interpretation, while Report B misdiagnoses the image as a dermatological condition with complex etiology and pathology that do not match the visual content."
2541.png,stevens johnson syndrome,A,A,False,64,"Better report: A  
Report A correctly identifies the acute mucocutaneous eruption consistent with Stevens-Johnson syndrome, while Report B misdiagnoses a chronic, symmetric dermatosis with features not seen in the image."
206.png,melanocytic-nevi,B,A,True,97,"Better report: B. Report A misidentifies the lesion as a drug-induced exanthem with specific dermatoscopic findings and clinical history that are not supported by the image, while Report B correctly notes the lesion’s appearance and the need for further investigation without overreaching."
3888.png,lupus erythematosus,B,B,False,54,"Better report: B
Report B correctly identifies the palm as the site and describes the red, irregular lesions consistent with lupus erythematosus, while Report A misdiagnoses the condition as tuberous sclerosis complex, which is not supported by the image."
3249.png,drug eruption,B,A,True,100,"Better report: A
Report A provides a detailed, accurate diagnosis of scleromyxedema based on clinical findings, dermoscopy, and histopathology, while Report B incorrectly diagnoses the condition as a drug rash without supporting evidence or histological confirmation."
2132.png,scleroderma,A,A,False,64,"Better report: A  
Report A correctly identifies the hand lesions and appropriately considers systemic connective tissue diseases as differential diagnoses, while Report B misidentifies the lesion location (cheek instead of hand) and misdiagnoses the condition as invasive squamous cell carcinoma, which is inconsistent with the image."
1256.png,prurigo nodularis,B,A,True,96,"Better report: B. Report A misidentifies the condition as pityriasis rubra pilaris, which is incorrect for this image showing scattered red papules and nodules without the characteristic thick scaling, well-demarcated plaques, or central atrophy seen in PRP; Report B correctly identifies the clinical presentation as nodular prurigo, which aligns with the visual findings."
2300.png,folliculitis,A,A,False,62,"Better report: A  
Report A correctly identifies the clinical presentation as diffuse follicular pustules and provides a plausible differential diagnosis consistent with the image, while Report B mischaracterizes the image entirely as a benign nevus on the thigh, which is not depicted in the image."
1227.png,lymphangioma,A,A,False,106,"Better report: A  
Report A correctly identifies the lesion as a lymphatic malformation, which aligns with the clinical appearance of linear, light yellow elevations on the chest, while Report B misdiagnoses the condition as folliculitis, which does not match the visual features shown."
3919.png,syringoma,B,A,True,108,"Better report: B. Report B correctly identifies the clinical presentation as consistent with syringoma, while Report A misdiagnoses the lesion as a benign nevus, which is inaccurate given the diffuse, non-solitary, and non-pigmented nature of the lesions in the image."
2465.png,scleromyxedema,B,A,True,97,"Better report: B. Report B correctly identifies the lesion type and condition consistent with the image, while Report A misdiagnoses the patient as male and incorrectly attributes the lesions to prurigo nodularis, which does not match the back location or clinical description."
2384.png,pyogenic granuloma,B,A,True,94,"Better report: B. Report B correctly identifies the lesion as a lobulated nodule consistent with pyogenic granuloma, while Report A misdiagnoses it as lichen simplex chronicus, which is inconsistent with the lesion’s appearance and clinical context."
150.png,benign-keratosis,B,A,True,98,"Better report: B. Report B correctly identifies the lesion as a benign skin tag, while Report A misdiagnoses it as acne vulgaris, which is inconsistent with the image showing a solitary, dark, hair-covered lesion without signs of inflammation or comedones."
870.png,lupus subacute,B,B,False,64,"Better report: B
The image shows facial erythema with desquamation consistent with lupus erythematosus, while Report A misdiagnoses the condition as Darier disease, which typically presents with different morphological features and is not associated with the facial distribution seen here."
1979.png,livedo reticularis,B,A,True,93,"Better report: B. Report B correctly identifies the image as showing spider veins on the lower extremities, while Report A misdiagnoses the lesion as squamous-cell carcinoma, which is inconsistent with the visual appearance and clinical context of the image."
2457.png,pityriasis rubra pilaris,A,A,False,75,"Better report: A. Report A accurately describes the clinical presentation as erythroderma, which matches the diffuse red, scaling skin seen in the image, while Report B misdiagnoses the lesion as a benign nevus, which is inconsistent with the diffuse, non-papular, erythematous appearance."
3866.png,lupus erythematosus,A,A,False,49,"Better report: A
Report A correctly identifies the clinical presentation as consistent with lupus erythematosus, while Report B misdiagnoses the condition as Lyme disease, which is inconsistent with the image showing facial lesions, not a tick bite or bull’s-eye pattern."
2213.png,pityriasis rubra pilaris,A,A,False,55,"Better report: A
Report A correctly identifies the diffuse erythema and scaling consistent with a systemic or widespread dermatosis, while Report B mischaracterizes the image as a localized lesion on the forearm and incorrectly attributes it to lichen simplex chronicus, which does not match the full-body distribution shown."
1007.png,lupus subacute,A,A,False,54,"Better report: B. Report B provides a precise, evidence-based diagnosis consistent with the image, while Report A misidentifies the lesion as subacute cutaneous lupus erythematosus, which is not supported by the visual features shown."
3048.png,allergic contact dermatitis,A,A,False,34,"Better report: B. Report B provides a detailed, clinically relevant diagnosis (keloid) with supporting histopathology and treatment, while Report A misdiagnoses the lesion as contact dermatitis, which does not match the described features."
706.png,lyme disease,B,A,True,89,"Better report: A. Report A correctly identifies the lesion as consistent with tuberous sclerosis complex (TSC) based on the characteristic skin findings and supports the diagnosis with clinical, histological, and genetic evidence, while Report B misdiagnoses the condition as Lyme disease, which is inconsistent with the visual presentation and lacks supporting evidence."
3144.png,acne,B,A,True,96,"Better report: A. Report A correctly identifies the clinical presentation, histopathology, and serology consistent with subacute cutaneous lupus erythematosus, while Report B misdiagnoses the condition as folliculitis without supporting evidence."
3597.png,squamous cell carcinoma,A,A,False,66,"Better report: A. Report A correctly identifies the lesion as squamous cell carcinoma based on its appearance and provides appropriate clinical context and treatment options, while Report B misidentifies the lesion as a Becker nevus, which is inconsistent with the image showing a nodular, ulcerated lesion rather than a flat, hyperpigmented macule."
1988.png,dermatomyositis,B,A,True,98,"Better report: B. Report B correctly identifies the erythematous, scaling skin changes on the neck consistent with dermatomyositis, while Report A misdiagnoses the image as basal cell carcinoma, which is not supported by the visual findings."
180.png,blue-nevus,A,A,False,70,"Better report: B. Report B provides a detailed, clinically accurate diagnosis with supporting evidence (dermoscopic, histopathologic, and clinical stability), while Report A misidentifies the lesion as a ""blue nevus"" without supporting evidence and incorrectly claims it may be malignant."
110.png,seborrheic-keratosis,B,A,True,97,"Better report: A. Report A accurately describes the clinical and histopathological findings consistent with a Becker nevus, while Report B misdiagnoses the lesion as seborrheic keratosis without supporting evidence."
3079.png,becker nevus,A,A,False,41,"Better report: A  
Report A correctly identifies the lesion as seborrheic keratosis, a benign condition consistent with the diffuse brown patches and increased hair growth seen in the image, while Report B misdiagnoses the condition as subacute cutaneous lupus erythematosus, which is not supported by the clinical image and includes unnecessary and unsupported diagnostic details."
